id,script_id,language,label,scenario,wake_variant,text,normalized_text,template_id,split_group,split,source_id,source_license
v4s_ko_964c971854eaf2aa,v4s_ko_964c971854eaf2aa,ko,positive,positive_wake,옥자,옥자,옥자,v4s_ko_964c971854eaf2aa,v4s_ko_964c971854eaf2aa,train,okja_original_scripts,project-owned original text
v4s_ko_a15c8f882aa789ee,v4s_ko_a15c8f882aa789ee,ko,positive,positive_wake,옥자,"옥자, 지금 몇 시야?",옥자 지금 몇 시야,v4s_ko_a15c8f882aa789ee,v4s_ko_a15c8f882aa789ee,train,okja_original_scripts,project-owned original text
v4s_ko_946d8d6bebdd5759,v4s_ko_946d8d6bebdd5759,ko,positive,positive_wake,옥자,"옥자, 오늘 날씨 알려줘.",옥자 오늘 날씨 알려줘,v4s_ko_946d8d6bebdd5759,v4s_ko_946d8d6bebdd5759,train,okja_original_scripts,project-owned original text
v4s_ko_2618e4d8b48936eb,v4s_ko_2618e4d8b48936eb,ko,positive,positive_wake,옥자,"옥자, 불 좀 켜줘.",옥자 불 좀 켜줘,v4s_ko_2618e4d8b48936eb,v4s_ko_2618e4d8b48936eb,train,okja_original_scripts,project-owned original text
v4s_ko_30b9d9b509323be0,v4s_ko_30b9d9b509323be0,ko,positive,positive_wake,옥자,"옥자, 내 휴대폰 찾아줘.",옥자 내 휴대폰 찾아줘,v4s_ko_30b9d9b509323be0,v4s_ko_30b9d9b509323be0,train,okja_original_scripts,project-owned original text
v4s_ko_9f138f7608ddc0a5,v4s_ko_9f138f7608ddc0a5,ko,positive,positive_wake,옥자,"옥자, 엄마한테 전화해줘.",옥자 엄마한테 전화해줘,v4s_ko_9f138f7608ddc0a5,v4s_ko_9f138f7608ddc0a5,train,okja_original_scripts,project-owned original text
v4s_ko_1cdf36ce8b70b5fe,v4s_ko_1cdf36ce8b70b5fe,ko,positive,positive_wake,옥자,"옥자, 음악 틀어줘.",옥자 음악 틀어줘,v4s_ko_1cdf36ce8b70b5fe,v4s_ko_1cdf36ce8b70b5fe,train,okja_original_scripts,project-owned original text
v4s_ko_32416329071e6e2d,v4s_ko_32416329071e6e2d,ko,positive,positive_wake,옥자,"옥자, 내일 일정 알려줘.",옥자 내일 일정 알려줘,v4s_ko_32416329071e6e2d,v4s_ko_32416329071e6e2d,train,okja_original_scripts,project-owned original text
v4s_ko_d0d0479738360dcb,v4s_ko_d0d0479738360dcb,ko,positive,positive_wake,옥자,"옥자, 타이머 맞춰줘.",옥자 타이머 맞춰줘,v4s_ko_d0d0479738360dcb,v4s_ko_d0d0479738360dcb,train,okja_original_scripts,project-owned original text
v4s_ko_89a2942097b4a27b,v4s_ko_89a2942097b4a27b,ko,positive,positive_wake,옥자,"옥자, 거실 불 꺼줘.",옥자 거실 불 꺼줘,v4s_ko_89a2942097b4a27b,v4s_ko_89a2942097b4a27b,validation,okja_original_scripts,project-owned original text
v4s_ko_4d6ed067e4d0d9d0,v4s_ko_4d6ed067e4d0d9d0,ko,positive,positive_wake,옥자,"옥자, 오늘 비 와?",옥자 오늘 비 와,v4s_ko_4d6ed067e4d0d9d0,v4s_ko_4d6ed067e4d0d9d0,train,okja_original_scripts,project-owned original text
v4s_ko_9d7717d9a0c079bb,v4s_ko_9d7717d9a0c079bb,ko,positive,positive_wake,옥자,"옥자, 뉴스 알려줘.",옥자 뉴스 알려줘,v4s_ko_9d7717d9a0c079bb,v4s_ko_9d7717d9a0c079bb,train,okja_original_scripts,project-owned original text
v4s_ko_d34f9d415b4b78a5,v4s_ko_d34f9d415b4b78a5,ko,positive,positive_wake,옥자,"옥자, 소리 조금 줄여줘.",옥자 소리 조금 줄여줘,v4s_ko_d34f9d415b4b78a5,v4s_ko_d34f9d415b4b78a5,train,okja_original_scripts,project-owned original text
v4s_ko_4c56a99c8564ee07,v4s_ko_4c56a99c8564ee07,ko,positive,positive_wake,옥자야,옥자야,옥자야,v4s_ko_4c56a99c8564ee07,v4s_ko_4c56a99c8564ee07,train,okja_original_scripts,project-owned original text
v4s_ko_3a03c15c833247b2,v4s_ko_3a03c15c833247b2,ko,positive,positive_wake,옥자야,"옥자야, 지금 몇 시야?",옥자야 지금 몇 시야,v4s_ko_3a03c15c833247b2,v4s_ko_3a03c15c833247b2,train,okja_original_scripts,project-owned original text
